,0,1,2,
0,"ÄÉÀÌÅ© »ç·Á°í µÎ ½Ã°£ ÁÙ ¼¹´Âµ¥µµ ¸ø»òÀ½ ¤Ì¤Ì ÁÙ¼±¾êµé Àý¹ÝÀÌ»óÀÌ µÅÁö°°´øµ¥ ´ÙÀÌ¾îÆ®Á» ¾ÈÇÏ³ª,",1,"['ÄÉÀÌÅ©', '»ç', '·Á°í', 'µÎ', '½Ã°£', 'ÁÙ', '¼­', '¾ú', '´Â', 'µ¥', 'µµ', '¸ø', '»ç', '¾ú', 'À½', '¤Ì¤Ì', 'ÁÙ¼±¾ê', 'µé', 'Àý¹Ý', 'ÀÌ»ó', 'ÀÌ', 'µÅÁö', '°°', '´øµ¥', '´ÙÀÌ¾îÆ®', 'Á»', '¾È', 'ÇÏ', '³ª', ',']","µÅÁö,"
1,µ·¾ø´Â °³µÅÁö »õ³¢µé µ· Á¶±Ý¸¸ »Ñ·ÁÁÖ¸é ÁÁ¾Æ Á×Áö ¤»¤»,1,"['µ·', '¾ø', '´Â', '°³µÅÁö', '¤µ¤¢', 'µé', 'µ·', 'Á¶±Ý', '¸¸', '»Ñ¸®', '¾î', 'ÁÖ', '¸é', 'ÁÁ', '¾î', 'Á×Áö', '¤»¤»']","°³µÅÁö,»õ³¢,"
2,°³ºü »õÄûµé ±³À° ¶È¹Ù·Î ¾È ½ÃÅ°´Ù°¡ Áö ÀÚ½Ä ¹°·Á Á×°í³ª¸é ÈÄÈ¸ÇÒ°Å¾ß.,1,"['°³ºü', '»õÄû', 'µé', '±³À°', '¶È¹Ù·Î', '¾È', '½ÃÅ°', '´Ù°¡', 'Áö', 'ÀÚ½Ä', '¹°¸®', '¾î', 'Á×', '°í', '³ª', '¸é', 'ÈÄÈ¸', 'ÇÏ', '?', '°Å', 'ÀÌ', '¾ß', '.']","°³ºü,»õÄû,Á×,"
3,µÚÁ®¼­ ³ª¿À¸é ´Ï ¼Õ¸ñÇÏ°í ´Ù½Ã´Â ¸ø º¸´Â °Å¾ß,1,"['µÚÁö', '¾î¼­', '³ª¿À', '¸é', '´Ï', '¼Õ¸ñ', 'ÇÏ', '°í', '´Ù½Ã', '´Â', '¸ø', 'º¸', '´Â', '°Å', '¾ß']","µÚÁö,ÁãÁ®,"
4,¿äÁò ¹«½¼ °³³ª ¼Ò³ª ´Ù ³ë·¡ ³»°í ÁÒ¶öÀÌ³× ¤»¤» ´ë¹ÚÀÌ´Ù,1,"['¿äÁò', '¹«½¼', '°³', '³ª', '¼Ò', '³ª', '´Ù', '³ë·¡', '³»', '°í', 'ÁÒ¶öÀÌ³×', '¤»¤»', '´ë', '¹Ú', 'ÀÌ', '´Ù']","ÁÒ¶ö,Áö¶ö,"
5,MBTI³ª ¹Ï°í ¤¸¤¤ÇÑ½ÉÇÏ´Ù,1,"['MBTI', '³ª', '¹Ï', '°í', '¤¸¤¤', 'ÇÑ½ÉÇÏ', '´Ù']","ÇÑ½ÉÇÏ,ÇÑ½É,"
6,´Ï °°Àº ¾²·¹±âµé ¶§¹®¿¡ ³ª¸ÓÁö°¡ °í»ýÇÏÀÝ¾Æ ¹ú·¹³â¾Æ,1,"['´Ï', '°°', 'Àº', '¾²·¹±â', 'µé', '¶§¹®', '¿¡', '³ª¸ÓÁö', '°¡', '°í»ý', 'ÇÏ', 'Áö', '¾Ê', '¾î', '¹ú·¹', '³â', '¾Æ']","¾²·¹±â,¹ú·¹,³â,¹ú·¹³â"
7,·Îºñ ºñ¿ëÀ¸·Î ÀÏº»À» ÀÌ±ä°Ç °¡»óÇÑµ¥ µ·¸¸ ³Ö´Â´Ù°í ÀÏº»Ã³·³ µÉ ÁÙ ¾Ë¾Ò³ª? ÀÌ°ÍÀÌ ¹Ì°³ÇÑ Á¶¼±ÀÎ°ú ´ëÀÏº»Á¦±¹ÀÇ Â÷ÀÌ ww,1,"['·Îºñ', 'ºñ¿ë', 'À¸·Î', 'ÀÏº»', 'À»', 'ÀÌ±â', '?', '°Å', '?', '°¡»ó', 'ÇÏ', '?', 'µ¥', 'µ·', '¸¸', '³Ö', '´Â´Ù°í', 'ÀÏº»', 'Ã³·³', 'µÇ', '?', 'ÁÙ', '¾Ë', '¾ú', '³ª', '?', 'ÀÌ°Í', 'ÀÌ', '¹Ì°³', 'ÇÏ', '?', 'Á¶¼±ÀÎ', '°ú', '´ë', 'ÀÏº»', 'Á¦±¹', 'ÀÇ', 'Â÷ÀÌ', 'ww']","¹Ì°³,"
8,¿ø·¡ ´ë±ú¹®Àº »óÁ¾À» ¾ÈÇÏ´Âµ¥,1,"['¿ø·¡', '´ë±ú', '¹®', 'Àº', '»óÁ¾', 'À»', '¾È', 'ÇÏ', '´Â', 'µ¥']","´ë±ú¹®,"
9,OO ÀåÇÙ»ý ±Ý¼öÀú ¾Æºñ¸¦ µÐ ÀÚ½Ä»õÄû°¡ ¼¼»óÀ» ¾Ë°Ú¾î?,1,"['OO', 'Àå', 'ÇÙ', '»ý', '±Ý¼öÀú', '¾Æºñ', '¸¦', 'µÎ', '?', 'ÀÚ½Ä»õÄû', '°¡', '¼¼»ó', 'À»', '¾Ë', '°Ú', '¾î', '?']","ÀÚ½Ä»õÄû,»õÄû,»õ³¢,"
