,0,1,2,3
1,ÇÑ »ç¶÷ÀÌ ¹æ¼Û ´Ù ¸ÁÄ¡³× µµ´ëÃ¼ ¿Ö ¼·¿ÜÇÑ°ÅÁö? ¸ö ´ëÁá³ª,2,"['ÇÑ', '»ç¶÷', 'ÀÌ', '¹æ¼Û', '´Ù', '¸ÁÄ¡', '³×', '¤»', 'µµ´ëÃ¼', '¿Ö', '¼·¿Ü', 'ÇÏ', '?', '°Å', 'ÀÌ', 'Áö', '?', '¸ö', '´ë', '¾î', 'ÁÖ', '¾ú', '³ª']","¸ö,´ë,¸ö´ë,"
2,»Ç¼Û»Ç¼ÛÇÏ°Ú³× µû¸Ô±â ÁÁ°Ô ¸ö´ÜÀåÇÏ´Â°Å¾ß?,2,"['»Ç¼Û»Ç¼Û', 'ÇÏ', '°Ú', '³×', 'µû', '¾î', '¸Ô', '±â', 'ÁÁ', '°Ô', '¸ö´ÜÀå', 'ÇÏ', '´Â', '°Å', 'ÀÌ', '¾ß', '?']","µû,¸Ô,µû¸Ô,"
3,¾ß ¿À´Ã ÇÑ¹ø ÇÏ°Ô ´ëÁà¶ó,2,"['¾ß', '¿À´Ã', 'ÇÑ', '¹ø', 'ÇÏ', '°Ô', '´ë', '¾î', 'ÁÖ', '¾î¶ó']","´ë,¾î,ÁÖ,´ëÁà,"
4,ÇÇ½Î°³¾ß ±×³É ÁÙÁÙ ½Îµµ µÇ´Ï±î ¹ú¸®¶ó°í,2,"['ÇÇ½Î°³¾ß', '±×³É', 'ÁÙÁÙ', '½Î', '¾îµµ', 'µÇ', '´Ï±î', '¹ú¸®', '¶ó°í']","ÇÇ½Î°³¾ß,ÇÇ½Î°³,¹ú¸®,"
5,»¡ÅëÀº Á» µÈ´Ù¸é¼­,2,"['»¡Åë', 'Àº', 'Á»', 'µÇ', '?´Ù¸é¼­']","»¡Åë,"
6,°ÔÀÌµé ¾ûµ¢ÀÌ¿¡ ¿ÀÀÌµµ µé¾î°¡°Î´Ù,2,"['°ÔÀÌ', 'µé', '¾ûµ¢ÀÌ', '¿¡', '¿ÀÀÌ', 'µµ', 'µé¾î°¡', '°Î', '´Ù']","¾ûµ¢ÀÌ,"
7,ÀÌ»ÛÀÌ ÇÔ ¸ÔÀ¸·Á´Ù ²É¹ì¿¡ ¹°·È±º ÂìÂì,2,"['ÀÌ»ÛÀÌ', 'ÇÔ', '¸Ô', 'À¸·Á´Ù', '²É¹ì', '¿¡', '¹°¸®', '¾ú', '±º', 'ÂìÂì']","ÀÌ»ÛÀÌ,¸Ô,¸ÔÀ¸·Á,"
8,ÃÊµùÀÌ ²Ë²Ë Á¶ÀÌ°í ÁÁ´õ¶ó,2,"['ÃÊµù', 'ÀÌ', '²Ë²Ë', 'Á¶ÀÌ', '°í', 'ÁÁ', '´õ¶ó']","Á¶ÀÌ,Á¶ÀÌ°í,"
9,°úÀÚ ÁØ´Ù°í ²¿½Ã´Ï±î ¾Ë¾Æ¼­ ´Ù¸® ¹ú¸®´øµ¥?,2,"['°úÀÚ', 'ÁÖ', '?´Ù°í', '²¿½Ã', '´Ï±î', '¾Ë', '¾î¼­', '´Ù¸®', '¹ú¸®', '´øµ¥', '?']","¹ú¸®,"
10,¿Í¿ì ÇÏ¾á »¡Åë ±Â,2,"['¿Í¿ì', 'ÇÏ¾é', '?', '»¡Åë', '±Â']","»¡Åë,"
11,¼Ò¶ó¿¡´Â °¡½¿ÀÌ »Ú½Å ºÐµéÀÌ ¸¹¾Æ¼­ Á¶ÇÏ,2,"['¼Ò¶ó', '¿¡', '´Â', '°¡½¿', 'ÀÌ', '»Ú', 'ÀÌ', '½Ã', '?', 'ºÐ', 'µé', 'ÀÌ', '¸¹', '¾î¼­', 'Á¶ÇÏ']","°¡½¿,"
12,¸öÆÈÀÌ ¹ÎÁ· ´ëÀÏº»,2,"['¸ö', 'ÆÈ', 'ÀÌ', '¹ÎÁ·', '´ë', 'ÀÏº»', '¤§¤§']","¸ö,ÆÈ,¸öÆÈÀÌ,"
13,´À°³ºñ ¼º¸Å¸Å ¾÷¼Ò³à¶û ³»¿¬³à µÎÁý»ì¸² ÇÏ°Ú´Ü ¶æÀÌ±á,2,"['´À°³ºñ', '¼º', '¸Å¸Å', '¾÷¼Ò', '³à', '¶û', '³»¿¬³à', 'µÎ', 'Áý', '»ì¸²', 'ÇÏ', '°Ú', '´Ü', '¶æ', 'ÀÌ', '±á']","¼º,¸Å¸Å,¾÷¼Ò,³à,³»¿¬³à,¼º¸Å¸Å,¾÷¼Ò³à,"
14,¹ãÀÏ ÀßÇÒ °Í °°Àºµ¥?,2,"['¹ãÀÏ', 'Àß', 'ÇÏ', '?', '°Í', '°°', 'Àºµ¥', '?']","¹ãÀÏ,"
15,ÇìÀ¸ÀÀ ²Ã¸´ÇÏ´Ù ´©±¸¾ß?,2,"['Çì', 'À¸ÀÀ', '²Ã¸´ÇÏ´Ù', '´©±¸', 'ÀÌ', '¾ß', '?']","²Ã¸´ÇÏ´Ù,"
16,´À±× ¾ö¸¶´Â ¹ÚÈú ÁêÁö°¡ ¾ø¾î¼­ °³ ÁêÁö³ª ¹°°í ÀÖ´Â°Å³Ä?,2,"['´À±×', '¾ö¸¶', '´Â', '¹ÚÈ÷', '?', 'ÁêÁö', '°¡', '¾ø', '¾î¼­', '°³', 'ÁêÁö', '³ª', '¹°', '°í', 'ÀÖ', '´Â', '°Å', 'ÀÌ', '³Ä', '?']","¹ÚÈ÷,ÁêÁö,ÀÚÁö,"
17,¼ÒÃß ¾Æºñ ÁêÁöº¸´Ù °³ÁêÁö°¡ Å«µ¥ ±×·³ ¾îÄ«³Ä,2,"['¼ÒÃß', '¾Æºñ', 'ÁêÁö', 'º¸´Ù', '°³ÁêÁö', '°¡', 'Å©', '?µ¥', '±×·³', '¾îÄ«³Ä']","¼ÒÃß,°³ÁêÁö,"
18,¾ûµ¢ÀÌ¿¡´Â ´Ï°¡ ¹Ú¾Æ¼­ Âü±³À° ½ÃÄÑÁà¶ó Á»,2,"['¾ûµ¢ÀÌ', '¿¡', '´Â', '´Ï', '°¡', '¹Ú', '¾î¼­', 'Âü', '±³À°', '½ÃÅ°', '¾î', 'ÁÖ', '¾î¶ó', 'Á»']","¾ûµ¢ÀÌ,¹Ú,¾î¼­,¹Ú¾Æ¼­,"
19,ÃÊµù µû¸Ô¾ú´Âµ¥ Á×¿©ÁØ´Ù,2,"['ÃÊµù', 'µû¸Ô', '¾ú', '´Â', 'µ¥', 'Á×ÀÌ', '¾î', 'ÁÖ', '?´Ù']","µû¸Ô,"
20,¿À´Ã ¿ÊÀÌ ¿Ö ±×·¸°Ô ¾ßÇÏ³Ä?,2,"['¿À´Ã', '¿Ê', 'ÀÌ', '¿Ö', '±×·¸', '°Ô', '¾ßÇÏ', '³Ä', '?']","¾ßÇÏ,¾ßÇÏ³Ä,"
21,±×·¸°Ô ¹þ°í °¡´Â°Å ¸Â¾Æ?,2,"['±×·¸°Ô', '¹þ', '°í', '°¡', '´Â', '°Å', '¸Â', '¾î', '?']","¹þ,¹þ°í,"
22,³ª´Â ¹° ¸¹Àº ¿©ÀÚ°¡ ÁÁ¾Æ ±×·¡¾ß Á» ÇÏ´Â ¸Àµµ ÀÖ°í,2,"['³ª', '´Â', '¹°', '¸¹', 'Àº', '¿©ÀÚ', '°¡', 'ÁÁ', '¾î', '±×·¸', '¾î¾ß', 'Á»', 'ÇÏ', '´Â', '¸À', 'µµ', 'ÀÖ', '°í', '¤»¤»']","¹°¸¹,"
