,0,1,2
1,90프로 접종률이면 천천히 시도해 볼만 하지 솔직히 이렇게 통제 잘 되는 그룹이 또 있냐?,0,"['90', '프로', '접종', '률', '이', '면', '천천히', '시도', '하', '어', '보', 'ᆯ', '만', '하', '지', '솔직히', '이렇', '게', '통제', '잘', '되', '는', '그룹', '이', '또', '있', '냐', '?']"
2,국가 전체에서 90퍼 접종률 나오기는 쉽지 않음 여기서부터 차차 늘려가는 게 맞지,0,"['국가', '전체', '에서', '90', '퍼', '접종', '률', '나오', '기', '는', '쉽', '지', '않', '음', '여기', '서부터', '차차', '늘리', '어', '가', '는', '것', '이', '맞', '지']"
3,방역수칙 안 지킨 애들이 당연히 잘못 아님?,0,"['방역', '수칙', '안', '지키', 'ᆫ', '애', '들', '이', '당연히', '잘못', '아니', 'ᆷ', '?']"
4,방송국 애들은 아무도 안 지키는데 무슨.,0,"['방송국', '애', '들', '은', '아무', '도', '안', '지키', '는', '데', '무슨', '.']"
5,와 진짜 소방관 팔 빠지겠다,0,"['와', '진짜', '소방관', '팔', '빠지', '겠', '다']"
6,너한테 그런 소리 듣는 것도 이젠 지긋지긋해,0,"['너', '한테', '그런', '소리', '듣', '는', '것', '도', '이제', 'ᆫ', '지긋지긋', '하', '어']"
7,그때 일은 이제 다 잊어버린거야?,0,"['그', '때', '일', '은', '이제', '다', '잊어버리', 'ᆫ', '거', '이', '야', '?']"
8,그 일을 어떻게 잊어버려. 평생 못 잊어.,0,"['그', '일', '을', '어떻', '게', '잊어버리', '어', '.', '평생', '못', '잊', '어', '.']"
9,야 나 왜 쟤랑 같은 팀이야?,0,"['야', '나', '왜', '쟤', '랑', '같', '은', '팀', '이', '야', '?']"
10,밸런스 잘 맞게 짠 거야,0,"['밸런스', '잘', '맞', '게', '짤', 'ᆫ', '거', '야']"
11,내가 어떻게 하든 뭔 상관?,0,"['나', '가', '어떻', '게', '하', '든', '뭔', '상관', '?']"
12,난 취업을 귀찮아서 안하는거야,0,"['나', 'ᆫ', '취업', '을', '귀찮', '어서', '안', '하', '는', '거', '야']"
13,정신차리고 해라 나중에 진짜 후회한다,0,"['정신', '차리', '고', '하', '어라', '나중', '에', '진짜', '후회', '하', 'ᆫ다']"
14,역시 가을에는 전어지,0,"['역시', '가을', '에', '는', '전어', '지']"
15,난 전어회가 그렇게 맛있더라,0,"['나', 'ᆫ', '전어', '회', '가', '그렇', '게', '맛있', '더라']"
16,집 나간 며느리도 먹으러 돌아온다는 전어잖냐,0,"['집', '나가', 'ᆫ', '며느리', '도', '먹', '으러', '돌아오', 'ᆫ다는', '전어', '지', '않', '냐']"
17,그 정도로 엄청 맛있다는거지,0,"['그', '정도', '로', '엄청', '맛있', '다는', '거지']"
