,0,1,2,3,
1,좆같은 유행 돌았나보네ㅋㅋ,1,"['좆', '같', '은', '유행', '돌', '었', '나', '보', '네', 'ㅋㅋ']","좆,",
2,형광 바지 입고 모여있는 급식무리 잡아서 패죽여야 하는데,1,"['형광', '바지', '입', '고', '모이', '어', '있', '는', '급식', '무리', '잡', '어서', '패', '어', '죽이', '어야', '하', '는', '데']","급식,패,어,죽이,어,어야,패죽여야,",
3,자기 몸 긍정 운동가들이라고 하면서 꼴값 떠는 한녀들을 죽여 버리고 싶다.,1,"['자기', '몸', '긍정', '운동가', '들', '이', '라고', '하', '면서', '꼴', '값', '떨', '는', '한녀', '들', '을', '죽이', '어', '버리', '고', '싶', '다', '.']","꼴,값,떨,는,꼴값,떠는,한녀,",
4,그니까 저런 것들 남한테 피해주지 말고 조용히 죽었으면,1,"['그니까', '저런', '것', '들', '남', '한테', '피하', '어', '주', '지', '말', '고', '조용히', '죽', '었', '으면']","죽,었,",
5,최선을 다하는게 아니라 잘하라고 밥이나 축내는 식충아,1,"['최선', '을', '다', '하', '는', '것', '이', '아니', '라', '잘', '하', '라고', '밥', '이나', '축내', '는', '식충아']","식충아,",
6,외래어 쓰지 마라 입을 확 찢어버릴라,1,"['외래어', '쓰', '지', '말', '어라', '입', '을', '확', '찢', '어', '버리', 'ᆯ라']","찢,어,버리,",
7,군대에서 좀 맞아야 정신을 차리나봐.,1,"['군대', '에서', '좀', '맞', '어야', '정신', '을', '차리', '나', '보', '어', '.']","맞,어야,맞아야,",
8,호텔을 왜 가노ㅋㅋ 혼자 여행은 방음 안되는 모텔이 최고다 병신아,1,"['호텔', '을', '왜', '가노', 'ㅋㅋ', '혼자', '여행', '은', '방음', '안', '되', '는', '모텔', '이', '최고', '이', '다', '병신', '아']","병신,",
9,말만 하지말고 진짜 죽어버려,1,"['말', '만', '하', '지', '말', '고', '진짜', '죽', '어', '버리', '어']","죽,어,버리,어,죽어버려,",
10,그냥 죽이는 거 밖에는 답이 없음,1,"['그냥', '죽이', '는', '거', '밖', '에', '는', '답', '이', '없', '음']","죽이,는,",
