,0,1
0,싯팔 호구샛끼야 닌 머가리 있냐? 눈 삠? 머리만 있어서 만만하냐?,1
1,여자들은 진짜 화장 하나에 얼굴 느낌이 확 변하네,0
2,여튼 조센징들은 옛날부터 언플과 선동에 너무나도 약했음.,1
3,선임으로 게이만나면 똥꼬 허벌창 되는거임,2
4,뷰지들 군대 보내봤자 오또케 오또케 이러고 있을 게 뻔한데.,2
5,니가 안징징 거린다 했어 앞으로 징징거리면 다리 분질러 버린다 진짜 경고했다;,1
6,걔네 응디 보면 애액이 줄줄 흐름 우웩,2
7,저 군대가면 연예인 있다더라,0
8,지금 뭐라고 했냐?,0
9,그럼 당연하지!,0
10,너 말이 맞아.,0
11,미국에선 매일 아침마다 베이컨 먹는다,0
12,쥘알하고 있네 니 OO잖아;,1
13, 한 거지 이건 ,0
14,너가 나 알레르기 때문에 쓰러지면 책임질꺼야? 씨이팔련아,1
15,요즘 경제 어렵다 어렵다 하는데 다들 돈 많나봐 다 품절이야,0
16,내 옷장에 바지밖에 없는데 급하게 치마가 필요해.,0
17,꼭 파오후들이 그러면서 풀발하더라,1
18,야 짱개 언어 그냥 몰라도 되거든?,0
19,내가 한국사 공부해보니까 알겠음,0
20,거슬리는 놈 하나 떡되도록 줘패주고 왔음,1
21,넌 저 뚱녀가 같이 자자고 하면 잘 거야? ㅋㅋㅋ,2
22,쌍도놈들은 좀 죽어도 됨,1
23,자식 말을 가장 꼴찌로 듣는데 부모님 모시고 병원을 가라고?,0
24,아오 개빡치게 날씨 들쭉날쭉 하고 난리야. 옷 입기도 진짜 그지같아서 열받아 뒤지는 줄,1
25,네가 그런 사람만 만난 건 아닐까?,0
26,"그러게, 요즘 꽃뱀들이 웬만큼 많아야지.",2
27,그것도 맞는 말이긴해 그래도 비흡연자들은 흡연자들 때문에 왜 피해 봐야함?,0
28,색희 드디어 아다 탈출? 축하한다 모르는거 있으면 물어보고 하다가 안되면 형아 불러라 도와줄게ㅋ,2
29,그렇다고 합니다.6개월 정도 산대요.,0
30,빨리 돈 벌고 싶지 않아?,0
31,벌레 취급 당하는데도 충성 맹세하는 버러지놈들,1
32,졸라 개눈이라 보기 징그럽다,1
33,OO한테 보낸 DM 봤어?,0
34,좁보에 소음순도 늘어진 거 없이 정말 깔끔한 뷰지였다...,2
35,야 오늘 뭐할꺼야,0
36,그렇게 살면 어떤 느낌일까? 거울 보는게 재밌겠다,0
37,ㅋㅋ 개따먹상이네 발육상태 오우야~,2
38,야 나도 요새 많이 달라졌어,0
39,이젠 진짜 다신 안 그래야지.,0
40,오늘도 밤샘이냐?,0
41,얼굴은 꼴리진 않음 ㅋㅋ,2
42,하앍 흥분돼 막 애액이 나오고 분수가 터져,2
43,에이 그래도 가족인데 걱정은 하나도 안돼? 난 걱정 될 거 같아,0
44,그런가..,0
45,난 악플러들의 인생이 너무 불쌍해,0
46,ㅋㅋㅋㅋ쳐맞아봐야 정신차린다,1
47,너는 공부 안 하냐?,0
48,혹시 모르니 조심하라고 조언해 주는거야,0
49,나는 똥꾸멍 빨아주는게 젤 좋더라,2
50,워홀 다녀온 여자는 걸러야 함.,0
51,우리 크리스마스때 파티하자,0
52,책 하나 읽는거 가지고 뭐라하지마,0
53,이 십팔련이 아스팔트에 쳐 갈기고 싶으면 그딴식으로 계속 말해,1
54,냄새 역겨워서 난 싫어,0
55,어쨌든 우리나라 선수들 파이팅이다.,0
56,저 틀니를 뽑아버려야 하는 건지...,1
57, 일이 너무 많다.,0
58,남자들은 자나깨나 그짓 생각밖에 못하나? 머리에 우동사리만 들었나 ㅋㅋ,1
59,이번에 기사 뜬 거 봤어?,0
60,ㅋㅋㅋ 니 그냥 먹버하려고 만났지 뭔 ㅋㅋ 이제 다 알거아니야?,2
61,좋아하는 티겠지 뭐,0
62,맛집 추천 부탁드려요~,0
63,이번 프로젝트는 최과장한테 넘기세요,0
64,이제 OO 잡아 족칩시다,1
65,또 평소에는 어디다 숨겨 놓을 거야.,0
66,그리고 신음도 엄청 커서 더 설레는 것도 있는 거 같다,2
67,우리 옆집 이사왔는데 옆집누나 엄청 예뻐,0
68,담배피는 사람들도 피울곳이 부족해,0
69,오늘 버스 탔는데 틀딱 할매년이 내 발 밟고 사과도 안함,1
70,가슴에 메론을 달고 다니면 안 무거울까?,2
71,나 이번에 기타 새로운 거 하나 장만했다,0
72,흑인 맛을 본 여자는 못돌아온다던데,2
73,기숙사 2층에서 이상형 봤다 ㅠㅠ,0
74,교복 치마 제끼고 박아줬으면 좋겠다.,2
75,진짜 저 기사낸 사람은 머리 박고 사과해야 하는 거 아님?,0
76,몸이 꼴려야 모델을 하지 옷 안팔린다,2
77,나도 백인은 다 외모가 출중할 줄 알았어,0
78,이번엔 조회수 반영 안 하네,0
79,그저 돈 쓰면서 보빨짓이나 하라고 앰병이네,2
80,소추라서 어쩔 수 없네.,2
81,그러니까 무슨 말할 때마다 저렇게 보이는거야,0
82,OO 국왕이 테스토스테론 차단제 맞았대,0
83,으.. 코딱지를 파는 병신이 여기 있네.,1
84,그럴 거면 그냥 모기매트 같은 거 틀어놓고 자,0
85,저건 솔직히 운이 나빴던 거 아니야?,0
86,나는 얼리어답터야.,0
87,저 친구 누구야? 힘이 엄청 세네,0
88,도쟁이들 한번만 더 전도하면 모가지 썰어버릴 거야,1
89,나는 젊을 때 쓰리썸 진짜 꼭꼭 해보고 싶음,2
90,더 이상은 못 참겠다 오늘 업소녀들 먹으러 간다,2
91,아 정말 찾아가서 머리통을 도끼로 내려치고 싶다.,1
92,아 개 전용 호텔에 맡기기로 했어.,0
93,팬 알기를 뭐같이 아네 시발 어이가없네,1
94,너랑 같이 있으면 의사소통이 너무 안된다.,0
95,남의 일이라고 쉽게 말하지 마라,0
96,식당 가서 메뉴에도 없는 거 해달라는 진상 맘충들은 살처분이 답이다.,1
97,이래서 한남은 패야 말을 듣는다고,1
98,아이스크림 녹듯이 녹아내리는 것 같아,0
99,야 어제 술자리에서 어떤 남자가 너 여친 챙기던데?,0
100,와ㅋㅋㅋ여기 정신이상자 추가요,1
101,OO 외국인이야?,0
102,빙씬들끼리 끼리끼리 만나네 ㅋ,1
103,나 기타 배우고 싶어,0
104,본인도 그렇게 얘기하고 있는거 아닌가,0
105,깜둥이들은 개같이 키우는 게 제맛인데?,1
106,저 여자도 도끼 자국 다 보인다,2
107,저거 저 배우 첫 작품임?,0
108,비건충 피씨코스프레충들 돈 빨아먹으려는 OO 수작~,1
109,앞으로 더 교묘하게 발전해서 더 잡기 힘들어질거임 아무 소용 없음 범죄자들 잡는거 ,0
110,그러게 평소에 하면 되는데 네가 맨날 밀려놓으니까 그쥬랄이지,1
111,그래 그렇게 불만이면 우리 헤어지자.,0
112,와 어떤 개후루룩년들이 거길 신고해?,1
113,야 오늘 보픈카 오픈 각?,2
114,나 32000원인가 쫌 비싸더라 셀프로 하면 얼만데,0
115,그래 손톱 물어 뜯는건 진짜 고쳐야 할 것 같아 손이 못생겨지잖아 ㅜ,0
116,누가 쟤 좀 말릴 수 없나?,0
117,와 진짜? 난 잠 못 자는 것보다 먹고싶은 음식 못 먹는거.. 그게 젤 고통스러워,0
118,평소 습관이 그럴수도 있지 너는 왜그렇게 생각하는거야 ?,0
119,그러니까 걸릴거라곤 생각 안했나?,0
120,이제와서 결혼하기 싫은거야?,0
121,쟤 얼굴 개빻아서 쳐다보면 자살 말려,1
122,처맞아도 그런 소리 나오는지 배트로 패보고 싶다.,1
123,가슴이 저러면… 애기 만들 기회도 안 생길 듯,2
124,중국을 과거 소련처럼 여러국가로 쪼개야되,0
125,너무 심하게 말고 가끔 흉기로 위협만 좀 하면 돼ㅋㅋㅋ,1
126,내 보G에 꼬튜물 묻은 얼음좀 넣어줄래?,2
127,와 여기 가게 인테리어 봐,0
128,오늘 봉사활동 다녀왔어.,0
129,야 너 치마 뭐냐?,0
130,가슴 진짜 먹음직스럽던데,2
131,내 육봉으로 다스려주고 싶다,2
132,얀센 접종자들이 부스터샷 소식에 화색이란다.,0
133,섹파면 그냥 딜도라고 생각하고 즐기면 되지 왜 마음까지 주는거임?,2
134,그래도 다 같은 사람이야,0
135,아니 뭐 만질 게 있어야 성추행 운운하지.,2
136,염병하고 자빠졌네,1
137,1억 받을 만한 연기력은 절대 아니지.,0
138,모양은 예쁜데,0
139,쟤네 둘이 떡도 쳤겠네,2
140,비결이 있으시면 좀 가르쳐 주세요..,0
141,앰흑자식들,1
142,저 남자 옷이 왜 저래?,0
143,맞아 어릴 때 잠깐 실수라고 쉴드 쳐주기엔 나쁜짓을 너무 많이 하긴 했더라,0
144,아드님이 똑똑해서 좋으시겠어요?,0
145,오늘 내가 뭐 잘 못했어?,0
146,그런 놈들은 얼굴을 인두로 지져야 되는데.,1
147,그러니까 다른 대우를 받는 게 당연하지,0
148,고백 받았는데 나이가 좀 많아서 고민이야,0
149,너 머리 왜 그렇게 했어?,0
150,와ㅋㅋ 죨 극혐인 애가 옆에 있었네 어디서 그딴 짓 하지마라 진짜 소총으롱 머가리에 총 5발 쏘고싶다,1
151,꼭지도 까는 애들 있던데,2
152,영화랑 성인물 무료로 감상할 수 있는 곳 알려드림.,2
153,어제 기사에 오토바이 기사 죽었다는거 봤어?,0
154,느그 아버지 사창가 VIP,1
155,저 여자는 홍조가 매력 포인트다,0
156,임신부석은 무슨 질내사정 인증석인거지.,2
157,누가 계속 나 지켜보고 있는 것 같아,0
158,새로운 조미료니 이해하시죠,0
159,"응, 걔 엄청 착해.",0
160,노무딱딱 기모띠한데 부엉이 바위 가고 싶노~,1
161,미시 느낌나면서 핑보에 핑두일거 같은데 샤워할때 사진좀 찍어와,2
162, 부인 박사 논문은 보면 볼 수록 충격적이네,0
163,하악질하는 털바퀴 줘패면 착해지나?,1
164,그렇게 사람이 없냐?,0
165,니 딸 새끈하게 잘빠졌더라,2
166,대기업 다니다 퇴사한 사람들은 그럼 워하는데?,0
167,그래 용서해줄게,0
168,안그래도 오늘 길가는데 돼지국밥육수 한남 보이는데 죽이고 싶더라,1
169,그때부터 갱뱅 시작이누ㅋㅋ,2
170,느개비 성매매 업소녀랑 내연녀 두집살림 하겠단 뜻이긔,2
171,임신은 너네 어머니가 하셨는데 뇌손상은 니가 온 거 같다,1
172,그걸 니가 왜 궁금해하는데?,0
173,말을 말자.,0
174,그냥 인기순으로 상 주는 듯.,0
175,떡감이 좋대,2
176,홍보 차원에서 나왔을껄?,0
177,애초에 연인생기면 연락하지 않음,0
178,그건 비약인 거 같아,0
179,"야, 나도 진짜 빡쳐",1
180,이혼녀가 미혼남이 가당키나 하냐,0
181,저런 거 머리 깨버려도 인정?,1
182,저런 것들은 똑같이 다리를 담뱃불로 지져야 돼,1
183,그런가 내가 너무 성급한 일반화 했나보다,0
184,저게 지금 뭐하는 짓이냐?,0
