,0,1,2,3
1,"맞아, 여자는 몸만 대주면 돈 많이 받잖아",2,"['맞', '어', ',', '여자', '는', '몸', '만', '대', '어', '주', '면', '돈', '많이', '받', '잖아']","대,어,주,대어주"
2,소추 한남들은 소추라서 소심한 건가?,2,"['소추', '한', '남', '들', '은', '소추', '이', '라서', '소심', '하', 'ᆫ', '거', '이', 'ᆫ가', '?']",소추
3,대딸이나 에프터도 가능한가요?,2,"['대', '딸', '이나', '에프터', '도', '가능', '하', 'ᆫ가', '요', '?']","대,딸,대딸"
4,다리 벌려 줘도 안 박을 것 같아,2,"['다리', '벌리', '어', '주', '어도', '안', '박', '을', '것', '같', '어']","벌리,박,을,박을"
5,회춘에는 꼬튜물만한게 없더라,2,"['회춘', '에', '는', '꼬튜물', '만', '하', 'ᆫ', '것', '이', '없', '더라']","꼬튜물,꼬추물,고추물"
6,떡칠 여자도 없어서 야동이나 보는 주제에 뭘 잘 했다고 씨를 뿌리노,2,"['떡', '치', 'ᆯ', '여자', '도', '없', '어서', '야동', '이나', '보', '는', '주제', '에', '뭐', 'ᆯ', '잘', '하', '었', '다고', '씨', '를', '뿌리', '노']","떡,치,떡칠,야동"
7,너네 엄마 누런 냉이 꾸덕꾸덕 나오는 게 참 역겹네,2,"['너', '네', '엄마', '누렇', 'ᆫ', '냉이', '꾸덕꾸덕', '나오', '는', '것', '이', '참', '역겹', '네']","누렇,누런,냉이"
8,나중에는 밤일도 못할걸.,2,"['솔직히', '생각', '하', '어', '보', '어', '.', '오랜', '시간', '사귀', '면', '솔직히', '정', '떨어지', '고', '시시하', '지', '않', '겠', '어', '?', '나중', '에', '는', '밤일', '도', '못하', 'ᆯ걸', '.']",밤일
9,여캠은 걍 신종몸팔이녀아니냐?,2,"['여캠', '은', '걍', '신종', '몸', '팔', 'ᆯ', '이', '녀', '아니', '냐', '?']","여캠,몸,팔,몸팔이"
10,"거기에 오픈 마인드라, 이빨만 잘만 까면 대줄 것 같았음",2,"['거기', '에', '오픈', '마인드', '이', '라', ',', '이빨', '만', '잘', '만', '까', '면', '대', '어', '주', 'ᆯ', '것', '같', '었', '음']","대,어,주,대어주"
11,번호 따였다고 모르는 놈한테 따먹히고 울고불고 하지말고ㅋㅋ,2,"['번호', '따', '이', '었', '다고', '모르', '는', '놈', '한테', '따', '어', '먹히', '고', '울고불고', '하', '지', '말', '고', 'ㅋㅋ']","따,어,먹히,따먹히고"
12,와 저 여자 엉덩이 탱글 한 것 좀 봐 한입만 먹고 싶네,2,"['와', '저', '여자', '엉덩이', '탱글', '하', 'ᆫ', '것', '좀', '보', '어', '한', '입', '만', '먹', '고', '싶', '네']",엉덩이
13,레즈플은 보겠는데 게이 야동은 토나온다,2,"['레즈플', '은', '보', '겠', '는', '데', '게이', '야동', '은', '토', '나오', 'ᆫ다']","레즈플,게이,야동"
14,어쩌면 매일 밤 남자를 물고 빨고 있을 수도 있어 ㅋㅋㅋ,2,"['어쩌면', '매일', '밤', '남자', '를', '물', '고', '빨', '고', '있', '을', '수', '도', '있', '어', 'ㅋㅋㅋ']","물,물고,빨,빨고"
15,저 빵빵한 엉덩이 보여?,2,"['저', '빵빵하', 'ᆫ', '엉덩이', '보이', '어', '?']","빵빵하,빵빵한,엉덩이"
16,그런데도 계속 영화 하는 거 보면 연기는 못해도 몸은 잘 주나보다,2,"['그런데', '도', '계속', '영화', '하', '는', '거', '보', '면', '연기', '는', '못', '하', '어도', '몸', '은', '잘', '주', '나', '보', '다']","주,나,주나보다"
17,엉덩이 움직이는거 봐라 양 손에 꽉 차겠노,2,"['엉덩이', '움직이', '는', '거', '보', '어라', '양', '손', '에', '꽉', '차', '겠', '노']","엉덩이,꽉"
18,뒷꾸녕 장사 하려나 ㅋㅋ 돈 얼마냐고 물어봐?,2,"['뒷꾸녕', '장사', '하', '려나', 'ㅋㅋ', '돈', '얼마', '이', '냐고', '묻', '어', '보', '어', '?']","뒷꾸녕,뒷구녕"
19,ㅉㅉ아래 잘못 놀리다가 몸캠 당했지 한심..,2,"['ㅉㅉ', '아래', '잘못', '놀리', '다가', '몸캠', '당', '하', '었', '지', '한심', '..']",몸캠
20,오 가슴 열라 크드라,2,"['오', '가슴', '열라', '크', '드라']",가슴
21,요즘 여돌들 빨통 무슨 일이야?,2,"['요즘', '여', '돌', '들', '빨', '통', '무슨', '일', '이', '야', '?']","빨,통,빨통"
22,난 한 명도 못 먹었는데 쟨 몇 명이나 따먹는 거냐,2,"['나', 'ᆫ', '한', '명', '도', '못', '먹', '었', '는데', '쟤', 'ᆫ', '몇', '명', '이나', '따', '어', '먹', '는', '걸', '냐']","따,먹,따먹는"
23,예쁘지도 않으면서 성관계만 거부하는 이기적인 목석녀들은 죽어야 함.,2,"['예쁘', '지', '도', '않', '으면서', '성관계', '만', '거부', '하', '는', '이기', '적', '이', 'ᆫ', '목석', '녀', '들', '은', '죽', '어야', '하', 'ᆷ', '.']","성관계,목석,녀,목석녀"
24,ㅇㅇ 어제 내 옆에 앉아 있던 애 먹버 했음 ㅋㅋㅋ,2,"['ㅇㅇ', '어제', '나', '의', '옆', '에', '앉', '어', '있', '던', '애', '먹버', '하', '었', '음', 'ㅋㅋㅋ']",먹버
25,"개부럽, 진짜 잘 세우게 생겼던데",2,"['개부럽', ',', '진짜', '잘', '세우', '게', '생기', '었', '던데']","세우,게,세우게"
26,지들을 누가 좋아한다고 밤이면 발정난 짐승처럼 서 있는지,2,"['지', '들', '을', '누구', '가', '좋아하', 'ᆫ다고', '밤', '이', '면', '발정', '나', 'ᆫ', '짐승', '처럼', '서', '어', '있', '는', '지']","발정,짐승"
