,0,1,2,
1,옆방에서 야스 하는거 실시간으로 소리 들으면서 딸치는게 개 꽐리는거 모르냐?ㅋㅋ,2,"['옆방', '에서', '야스', '하', '는', '거', '실시간', '으로', '소리', '듣', '으면서', '딸', '치', '는', '것', '이', '개', '꽐리', '는', '거', '모르', '냐', '?', 'ㅋㅋ']","야스,꽐리,꽐,딸,딸치,"
2,한남 소추놈들 ㅋㅋ 크기도 딱풀만해서 느낌 하나도 없겠노 ㅋㅋ,2,"['한', '남', '소추', '놈', '들', 'ㅋㅋ', '크기', '도', '딱', '풀', 'ᆯ', '만', '하', '어서', '느낌', '하나', '도', '없', '겠', '노', 'ㅋㅋ']","소추,"
3,ㅋㅋ 본인이 질압 허벌 ㅋㅋ~,2,"['ㅋㅋ', '본인', '이', '지', 'ᆯ', '압', '허벌', 'ㅋㅋ', '~']","허벌,"
4,길거리에서 지들끼리 교미라도 했음?,2,"['길거리', '에서', '지', '들', '끼리', '교미', '이', '라도', '하', '었', '음', '?']","교미,"
5,스시녀는 키도 작은데 거유 비율이 왜 이상하리만큼 높은 거야?,2,"['스시녀', '는', '키', '도', '작', '은데', '거유', '비율', '이', '왜', '이상', '하', '리', '만큼', '높', '은', '거', '이', '야', '?']","스시녀,거유,"
6,맞아 다 늙은 젖탱이 누가 만져,2,"['맞', '어', '다', '늙', '은', '젖탱', '이', '누구', '가', '만지', '어']","젖,젖탱,젖탱이,"
7,아래도 허벌이라 극혐일 듯,2,"['아래', '도', '허벌', '이', '라', '극혐', '이', 'ᆯ', '듯']","허벌,"
8,안돼. 당장 옷 벗고 내꺼 빨아.,2,"['안', '되', '어', '.', '당장', '옷', '벗', '고', '내', '꺼', '빨', '어', '.']","빨,빨어,빨다,"
9,전라도 여자들은 성생활을 조기교육으로 배우고 기생 뺨친다는 거 실화냐?,2,"['전라도', '여자', '들', '은', '성생활', '을', '조기', '교육', '으로', '배우', '고', '기생', '뺨치', 'ᆫ다는', '거', '실화', '이', '냐', '?']","성생활,기생,"
10,너 영화 보면서 쌌지? 영상에 매력을 느끼는 씝덕후 색기야,2,"['너', '영화', '보', '면서', '싸', '었', '지', '?', '영상', '에', '매력', '을', '느끼', '는', '씝덕후', '색기야']","쌌지,싸,"
11,그렇게 몸 굴리고 다니는 걸 보면 너는 외로운 게 아니라 정신적 문제가 있는 것 같아.,2,"['그렇게', '몸', '굴리', '고', '다니', '는', '거', 'ᆯ', '보', '면', '너', '는', '외롭', '은', '것', '이', '아니', '라', '정신', '적', '문제', '가', '있', '는', '것', '같', '어', '.']","몸굴,몸굴리,"
12,이 여자 아이돌 엉덩이 너무 커서 몸매 호불호 갈릴 듯 ㅋㅋㅋ,2,"['이', '여자', '아이돌', '엉덩이', '너무', '크', '어서', '몸매', '호불호', '갈리', 'ᆯ', '듯', 'ㅋㅋㅋ']","엉덩이,"
13,아 그러면 무조건 호 ㅋㅋㅋ 쭉쭉빵빵해서 호~,2,"['아', '그러면', '무조건', '호', 'ㅋㅋㅋ', '쭉쭉', '빵빵하', '어서', '호', '~']","쭉쭉,빵빵,쭉쭉빵빵,"
14,그럼 내가 삐끼들한테 돈 좀 주고 골뱅이 데려오라하께,2,"['그럼', '나', '가', '삐끼', '들', '한테', '돈', '좀', '주', '고', '골뱅이', '데려오', '라', '하', '께']","골뱅이,"
15,오늘 안주는 골뱅이 무침 이네,2,"['오늘', '안', '주', '는', '골뱅이', '무침', '이', '네']","골뱅이,"
16,목소리 진짜 큰애 ㅋㅋ 가슴도 진짜 크고ㅋㅋ,2,"['목소리', '진짜', '큰애', 'ㅋㅋ', '가슴', '도', '진짜', '크', '고', 'ㅋㅋ']","가슴,"
17,여동생 팬티 냄새 맡으면 범죄야?,2,"['여동생', '팬티', '냄새', '맡', '으면', '범죄', '이', '야', '?']","팬티,팬티냄새,"
18,와 니 잘나가네? 여자들 보면 눈 돌아가서 완전 아다폭격기 되겠네,2,"['와', '이', '니', '잘', '나가', '네', '?', '여자', '들', '보', '면', '눈', '돌아가', '어서', '완전', '아', '다', '폭격기', '되', '겠', '네']","아다,"
19,그럼 서로 보짓값 계산해서 합의되면 만나는거야ㅋㅋ,2,"['그럼', '서로', '보짓', '값', '계산', '하', '어서', '합의', '되', '면', '만나', '는', '거', '이', '야', 'ㅋㅋ']","보짓값,보짓,"
20,이런 여자들은 홀딱 벗겨놔야 예술인데 아쉽다,2,"['이런', '여자', '들', '은', '홀딱', '벗기', '어', '놓', '어야', '예술', '이', 'ᆫ데', '아쉽', '다']","홀딱,벗기,"
21,그래? 그럼 어디한번 다 벗고 허리를 앞뒤로 흔들어봐,2,"['그래', '?', '그럼', '어디', '한', '번', '다', '벗', '고', '허리', '를', '앞뒤', '로', '흔들', '어', '보', '어']","벗고,벗,"
22,한남 소추만 보다가 거대한 흑인의 거기를 보면 당연히 좋아하지,2,"['한', '남', '소추', '만', '보', '다가', '거대', '하', 'ᆫ', '흑인', '의', '거기', '를', '보', '면', '당연히', '좋아하', '지']","소추,"
23,입으로 쥬지 좀 빨아주면 안 되냐?,2,"['입', '으로', '쥬지', '좀', '빨', '어', '주', '면', '안', '되', '냐', '?']","쥬지,"
24,너는 보징어 냄새난다고 박기만 하잖아,2,"['너', '는', '보징어', '냄새', '나', 'ᆫ다고', '박', '기', '만', '하', '잖아']","보징어,"
25,동서고금 보적보는 진리지,2,"['동서고금', '보', '적', '보', '는', '진리', '지']","보적보,"
26,멍청한 년이 아직 박지도 않았는데 질질 싸는 얼빠진 년 같잔아,2,"['멍청하', 'ᆫ', '년', '이', '아직', '박', '지', '도', '않', '었', '는데', '질질', '싸', '는', '얼빠지', 'ᆫ', '년', '같', '자', 'ᆫ', '아']","싸,싸는,싸다"
27,간통죄도 폐지된 마당에 남의 부인하고 떡치는 건 되고 리얼돌은 안 되는 게 더 우습지,2,"['간통죄', '도', '폐지', '되', 'ᆫ', '마당', '에', '남', '의', '부인', '하고', '떡', '치', '는', '거', 'ᆫ', '되', '고', '리얼돌', '은', '안', '되', '는', '것', '이', '더', '우습', '지']","떡치는,떡치,떡치다"
28,이쁘면 니나 맨날 천날 OO 입고 다녀라 이 아다련아 ㅋ,2,"['이쁘', '면', '니나', '맨날', '천', '날', 'OO', '입', '고', '다니', '어라', '이', '아다련아', 'ㅋ']","아다,"
29,왜 난 섹시하고 꼴려서 좋던데.,2,"['왜', '나', 'ᆫ', '섹시', '하', '고', '꼴리', '어서', '좋', '던데', '.']","꼴려서,꼴려,꼴리,꼴리다"
30,밖에서 아랫도리 놀리고 다니는 놈들이나 여자 비위 맞춰주는 거지,2,"['밖', '에서', '아랫도리', '놀리', '고', '다니', '는', '놈', '들', '이나', '여자', '비위', '맞추', '어', '주', '는', '거지']","아랫도리,"
31,예쁜여자가 얼굴잡고 빨아주니깐 서는거넼ㅋㅋㅋ,2,"['예쁘', 'ᆫ', '여자', '가', '얼굴', '잡', '고', '빨', '어', '주', '니깐', '서는거넼', 'ㅋㅋㅋ']","빨아,빨,빨다,"
32,더러운 아랫입은 박지도 못하는데 윗입은 좀 냅둡시다,2,"['더럽', '은', '아랫', '입', '은', '박', '하', '지', '도', '못하', '는', '데', '윗', '입', '은', '좀', '냅두', 'ᆸ시다']","아랫입,"
33,그럼 쥬지좀 박아넣고 입단속좀 시키쇼,2,"['그럼', '쥬지', '좀', '박', '어', '넣', '고', '입단', '속', '좀', '시키', '쇼']","쥬지,"
34,응 니엄마 사창가 에이스,2,"['응', '니', '엄마', '사창가', '에이스']","사창가,"
35,응 내가 본 야동에서는 최면 걸고 하던데 ㅋㅋㅋ,2,"['응', '나', '가', '보', 'ᆫ', '야동', '에서', '는', '최면', '걸', '고', '하', '던데', 'ㅋㅋㅋ']","야동,"
36,소추랑은 못 만나겠더라,2,"['소추', '랑', '은', '못', '만나', '겠', '더라']","소추,"
37,업소녀가 관계 거부하면 의사가 진료 거부하는 거랑 같은 거잖아,2,"['업', '소녀', '가', '관계', '거부', '하', '면', '의사', '가', '진료', '거부', '하', '는', '거', '랑', '같', '은', '거', '잖아']","업소녀,"
38,50만원만 주면 똥꼬털까지 빨아주는데 거부는 무슨,2,"['50', '만', '원', '만', '주', '면', '똥꼬털', '까지', '빨', '어', '주', '는', '데', '거부', '는', '무슨']","빨아,빨,빨다,"
39,OO한테 남자 성기 그려보라면 점 있는 솥뚜껑 그리겠네,2,"['OO', '한테', '남자', '성기', '그리', '어', '보', '라면', '점', '있', '는', '솥뚜껑', '그리', '겠', '네']","성기,"
40,여친이 변비걸리면 뒤에 박는게 답인듯,2,"['여친', '이', '변비', '걸리', '면', '뒤', '에', '박', '는', '것', '이', '답', '이', 'ᆫ', '듯']","박는,"
41,"한참 할 나이인데, 추하게 생겼으니 안 박히니 그러지",2,"['한참', '하', 'ᆯ', '나이', '이', 'ᆫ데', ',', '추하', '게', '생기', '었', '으니', '안', '박히', '니', '그러', '지']","박히,"
42,여친이 자꾸 보비는데 이거 그린라이트임?,2,"['여친', '이', '자꾸', '보비', '는', '데', '이거', '그리', 'ᆫ', '라이트', '이', 'ᆷ', '?']","보비는,보비,"
43,야 남자가 그럴 때는 먼저 덮쳐줘야 하는 거임ㅡㅡ,2,"['야', '남자', '가', '그렇', 'ᆯ', '때', '는', '먼저', '덮치', '어', '주', '어야', '하', '는', '거', '이', 'ᆷ', 'ㅡㅡ']","덮쳐,덮치다,"
44,영계들은 탱탱해서 맛이 더 좋으려나 ㅋㅋ,2,"['영계', '들', '은', '탱탱', '하', '어서', '맛', '이', '더', '좋', '으려나', 'ㅋㅋ']","영계,"
45,보빨은 어디를 어떻게 하는 거임?,2,"['보빨', '은', '어디', '를', '어떻', '게', '하', '는', '거', '이', 'ᆷ', '?']","보빨,"
46,술집년들 그냥 무고죄로 고소했으면.,2,"['술집', '년', '들', '그냥', '무고죄', '로', '고소', '하', '었', '으면', '.']","술집년,"
47,여자는 그런 거 바라고 남자는 원래 다 야스가 목적이니까,2,"['여자', '는', '그런', '거', '바라', '고', '남자', '는', '원래', '이', '다', '야스', '가', '목적', '이', '니까']","야스,"
