,0,1
0,미안한데 나하고 찍은 사진 인스타에서 내려주라,0
1,밥 안먹나?,0
2,벌써 배고파?,0
3,밥시간 지났다,0
4,지금 시비거는거?,0
5,꽃이 너무 예뻐.,0
6,그러게.,0
7,말이 심하다?,0
8,에휴 오르라는 집값은 안 오르고,0
9,치어리더 슴부먼트 보소,3
10,저 움직임은 참젖이 분명하다,3
11,의젖은 저런 흔들림이 나올 수가 없어,3
12,값 싼 재료 쓴다고 다 부실이냐 규격 미달이 문제지,0
13,공무원은 보수 안 되나?,2
14,야 신입생 오티 갔다 왔어?,0
15,어 ... 애들 다 좋더라 특히 얘 너무 맘에 들어,0
16,딱 박음직스럽게 생겼네,3
17,요즘 우리 아파트에 혼자 사는 여자가 부쩍 늘었다?,0
18,그래? 좋겠다 구경할 맛도 나고,0
19,난 왜 남자친구가 없을까?,0
20,성형 해볼까?,0
21,우리반애 말함부로 하는얘 있는데 자기말로는 자기가 털털해서그렇데..,0
22,우리도 별로 가까이 하고싶진않는데..괜히 왕따시킨다 생각할까봐 적당히 받아주고있어,0
23,너 주식한다면서?,0
24,주식하긴 하는데 왜?,0
25,근데 왜 목소리가 쳐졌어,0
26,말 걸지마,0
27,안그래도 기분 잡치는데 그냥 너도 휴지조각으로 만들어 줄게,0
28,남편이 바람피우는 거 같아.,0
29,그건 니 남편 탓이 아닌데.,0
30,그럼 불륜녀 탓인가?,0
31,넌 거울은 보니?,0
32,애 키우느라 바빠 죽겠는데 거울 볼 새가 어딨니?,0
33,당연한건데 왜?ㅋㅋ,0
34,이 문제가 이해가 잘 안 되는데 다시 설명해 주시겠어요?,0
35,안 그럼 걔넨 죽어서나 여자 구경 가능한 거야 차라리 빨리 죽어라 쓰레기 치우게,0
36,저 레스토랑 진짜 맛있겠다.,0
37,"그러게, 입에서 군침이 돈다.",0
38,하지만 너무 비쌀 거같아.,0
39,나 저 정도는 갈 수 있거든?,0
40,그냥 교복도 아니고 맨날 저렇게 크롭해서 타이트하게 하는 것도 참 대체 무슨 컨셉인지,0
41,교복 판타지만 양성 시키는 듯 ;;;,0
42,나는 아들이 있었으면 좋겠어.,0
43,딸보다는 아들이 좋아?,0
44,에휴 요즘에 남자 여자 그런 게 어디있냐?,0
45,낳고 키우면 다 이쁘고 좋아.,0
46,맛이 다르다잖냐 원두가 뭔지도 모르면서,2
47,그건 비약인 거 같아,0
48,내가 뭐 잘못한 거 없지?,0
49,ㅇㅇ 넌 남들 눈치를 너무 많이봐,0
50,정부가 부동산 잡겠다고 하지않음?,0
51,서점에 가야 하는데 경사 높은 곳에 있어서 가기가 싫어,0
52,25만원씩 주고도 나라빚 쌓여서 휘청거린다는데 기본 소득이라니 말이 되냐?,0
53,기본 소득 받아봐야 99% 소비로 회수될 서민충들이 나라 곳간은 왜 걱정하냐?,0
54,"""악플러 대부분이 여성이었습니다."" 그것이 알고싶다 中",0
55,ㄹㅇ 지들이 그러면 남들도 그런줄암.,0
56,직접 찾아가서 여자인거 확인한건데 도용이란다 ㅋㅋㅋㅋ,0
57,여기에서 왜 이러고 울고 있어?,0
58,나 오늘 너무 힘들어서 회사에 사직서 냈어,0
59,어른들이 다 너만 기다리는데 왜 이러고 있어?,0
60,힘들어도 좀만 더 참았어야지,0
61,그렇게 나약해서 무슨 일을 하겠다고 그러니?,0
62,야 저빵에다가 휘핑크림까지 올려먹네,0
63,감정적으로 호소하는 것도 일 나름이야,0
64,본인 잘못 줄이려는 행동이야,0
65,어제 캣맘이 사료 밥그릇 우리 집 앞에 둬서 치웠잖아,0
66,그걸 왜 치워?,0
67,생리휴가 쓰는거 ㅈ같네,1
68,생리하면 휴가 쓸 수 있는거 아니냐?,0
