,0,1
0,딸을 치든 박든 니껀 니가 알아서 해.,2
1,보통 태닝하지 않아?,0
2,그 급식 찐따 정말 패고 싶네.,1
3,그럼 목표를 바디프로필 촬영으로 하자.,0
4,너같은 한입만충들은 다시는 말 못하게 입을 확 찢어버려야 해.,1
5,뭐래. 저러는 의미 대충 파악하지 않아?,0
6,그것들한테 맞아 죽으면 시체가 돼서도 왜 때렸나 물어봐야겠네.,1
7,나 선약이 있어서 오늘은 좀 힘들듯,0
8,그런 남자 만나면 헐떡일 때까지 박혀보고 싶다.,2
9,의젖이긴 하나 탁자 붙잡 게 하고 3연떡 가능할 각,2
10,아 저 미르스띤넘이 또 새치기 하고 있네,1
11,얼굴도 못생긴 년들이 그러면 개빡침,1
12,에휴 오늘도 까칠하시네,0
13,인간 잡는 백정 주제에 퇴직금 소송은 왜 해,1
14,여자가 꾸미고 이쁘면 그게 남자들 성 노리개 하는 거 밖에 도 되냐? 난 탈조선한다 나를 사랑하니깐,2
15,너 같은걸 보고 결혼한 내가 등신이지.,1
16,당연하다는 식의 태도가 너무 싫어,0
17,마음같아서는 이미 뚝배기 수백번 깼지,1
18,나 요새 살이 좀 찐 거 같아,0
19,갱생의지 없는 노숙자들은 안락사시켜야 함.,1
20,걔랑 그 사진 찍어준 사람 전부 주먹으로 때리고 싶어.,1
21,모텔로 와. 빨리와 러브젤 써보자,2
22,그렇구나. 나는 별로 맛이 없더라.,0
23,엄마가 착실하게 전도 유망한 룸망주하나 키우는거지,2
24,넌 엉덩이가 왜 이렇게 밋밋해? 운동좀 해.,2
25,너네 누나 빨통 죽여주더라,2
26,아니 3일전에 주문을 했는데 왜 아직도 안오는 거야?,0
27,교회 들어가서 총기난사 해버리고 싶네,1
28,주차할 공간 없는데 뭔 소리야,0
29,그 씨빨 미친년만 없었어도 우린지금 같이살고 있을텐데,1
30,햐 계집애 진짜 탐스럽고 박음직스럽다.,2
31,너 진짜 인생 편하게 산다,0
32,늙어서도 정력 넘치는 어른일세 ㅋㅋ,2
33,"하긴, 환경충들은 환경을 위해 자살할 용기도 없는 위선자니까",1
34,유치원에서 선생님이 애들 폭행하는 사건이 요즘 엄청 많더라..,0
35,노란 이불이 네 거니? 의외인 걸,0
36,알아들어봤자 뭐할 건데,0
37,저런것들은 좀 두드려 맞아야지 정신을 차려,1
38,너 다리 예뻐서 한 번 만져보고 싶다고 ㅎㅎ,2
39,방청소좀 하고 살아라,0
40,"야, 니도 말 그딴 식으로 하는 거 보면 어차피 쓰레기처럼 살텐데, 이참에 인생 포기하고 자살하던가;",1
41,저 패딩 새로 샀는데 저랑 너무 딱이죠?,0
42,몇 번을 설명했는데 이해를 못해,0
43,애가 괜찮아서 계속 만나고 있어요,0
44,그니까 …. 입덕 부정기 아니냐… 우리 거 왤케 관심이 많아,0
45,27살 모태솔로 아다가 되니까 인생이 성욕에 지배당하는 느낌이다.,2
46,탕탕절에 맞춰서 똑같이 총살당했어야 했는데,1
47,어떻게 잘 때 하는 행동도 지랄이냐,1
48,아 지랄 오버한다 미친련 제발,1
49,직장 안 가리고 어린 여자들 보빨하는 틀딱 차장과장 놈들이 문제임,2
50,발로 후두부 가격하고 싶더라,1
51,성희롱 한 놈이 딸 같아서 그랬다는 건 무슨 궤변인가 싶어,2
52,"남학생은 파란 공책, 여학생은 분홍색 공책 가지고 가세요.",0
53,인사과에 간부가 몇명인데 저런거 하나 확인못하노,0
54,나 오늘 길에서 번호 따였다?,0
55,요즘 인플루언서? 들은 직업이 뭐야,0
56,요새 알바는 좀 어때?,0
57,와 정말 길다.,0
58,너 가슴에서 다이빙 쌉가능이네 ㅋㅋ,2
59,그러다가 큰일나.,0
60,아 박사 못하겠다,0
61,와 이 연예인 돈 많이 벌었나봐,0
62,먹버하려고 많이 꼬일걸,2
63,어저께 나 어디에 있는지 봤어?,0
64,와 개꼴리겠네 오자마자 벗겨무야지,2
65,여친이랑 손 잡고 다니는 남자들 보면 생김새 괜찮음,0
66,돈은 다 챙겨주긴 하는데 굳이 내가 해야 할 일도 아닌데 시켜,0
67,어떤 거에서 느꼈어?,0
68,따먹고 싶다는 생각은 하는데 웃지는 않는데?,2
69,아 진짜 카페에서 계집련들 존나 앵앵댄다.,1
70,"어차피 자살은 보장 못 받는데, 보험 안 든 거 억울하면 셀프 살인하세요.",1
71,진짜 중국 공장 지대 폭격해서 쓸어버리고 싶다.,1
72,대답 좀 해주니 오르가즘 터졌나봄,2
73,진짜 멍청한 애들 있으면 진짜 주먹 마려움;;,1
74,보이스피싱으로 피해를 입는 사람이 상당하다며?,0
75,직업에는 귀천이 없어,0
76,무슨 말을 그렇게 하니.,0
77,접종한 사람들은 걸리더라도 무증상이나 경증으로 넘어가겠지,0
78,나 오늘 지난번에 말한 후배랑 약속 있어.,0
79,대학 안 가도 알 건 다 알아,0
80,어디쯤 가고있니?,0
81,나 속이 안 좋아서 그러는 건데,0
82,그래 잘했어.,0
83,난 밖에서 동물잠옷같은거 왜 입는지를 모르겠음,0
84,사고치는 가족 지긋지긋해서 집에 불질러 다 죽고싶다,1
85,엉덩이 살랑거리면서 웃으면 없는 가슴도 만져줄 수 있는데,2
86,어제 아무 것도 못하고 집왔어.,0
87,대학가는게 뭐가 그렇게 중요해,0
88,말하는거 개웃기네 오늘 하루도 너 덕에 웃고간다,0
89,진짜 별 버러지를 다 보겠네 재수없어,1
90,양녀 비율 좋은 거 보니까 너무 흥분된다.,2
91,자니?,0
92,죄송합니다. 아직 끝내지 못했습니다.,0
93,글쎄 난 딱히 나댄다는 생각 안 들었는데,0
94,불법투기 하시면 안됩니다.,0
95,2주로 유학갔다 온다고 하기에 민망하다,0
96,걔네들은 얼마나 머갈이 깨져야 정신을 차릴까 쯧쯧,1
97,나이 들어서 이제 비아그라 먹어야 서는 거 아님?ㅋㅋ,2
98,모르면 가르쳐드릴 생각을 해야지,0
99,저 아이돌의 신곡 안무 멋있지 않냐?,0
100,짧은 치마 입고 나와서 속바지 다 보이고 꼴림,2
101,당신 이번 영화 다른 예능 따라했다는 소리가 있어.,0
102,왜?,0
103,진짜 계집련들 위 아래로 흔드는거 보면 개 꼴림 ㅋㅋ,2
104,걔네 다 죽이고 싶어 애들은 어차피 죽여도 괜찮잖아,1
105,저 정도는 나도 한다,0
106,농구나 미식축구 같은거 보면 같은 사람이 맞나 싶더라,0
107,어서오세요. 어머니,0
108,그떈 솔직히 잘했지 저렇게 될 줄 알았나,0
109,후지든 좋든 역사를 보면 너무 화가나서 안되겠어,0
110,커피포트도 씻어야 하는 거임?,0
111,니 여자친구 빨통 컸냐,2
112,너 페미에 대해 어떻게 생각함?,0
113,죄송하지만 선불 계산입니다.,0
114,모가지를 비틀어버려,1
115,"그 담배 꽁초 뺏아서, 혀에 지지고 싶지",1
116,"난, 이 뽀얀 겨드랑이 빨고 싶다.",2
117,너 장애인 만들어줄까?,1
118,아직 21살밖에 안됬던데 얼마나 몸을 굴리고다녔으면 벌써 임신을하노,2
119,진짜 자기들이나 폐암 걸려 뒤질 것이지 물리적으로 피해까지 주는 거 극혐이야,1
120,진짜 놀랬음..,0
121,대중교통 비용도 너무 오른 거 같다,0
122,오? 대박이다 어떤 남자였어?,0
123,새로 나온 중국 드라마 재밌던데,0
124,입만 털 줄 아는 허세충들이야,1
125,요즘은 자기 체형을 있는 그대로 존중하고 사랑하는 대세인 것 같아.,0
126,그런 여자애들은 두들겨패서라도 정신차리게 해야함,1
127,헐 너는 그러면 어떡해?,0
128,나 그때 너무 마음 아팠잖아..,0
129,이런 글로벌 시대에 한국 뉴스만 보고 살 수는 없잖아요,0
130,어디 술 맛 떨어지게 덜렁거리는 걸 달고 술을 따라?,2
131,쟤네를 빼야 진짜 한국 인기도를 확인할 수 있음.,0
132,난 원래 공부 잘해서 준비안해도 돼.,0
133,메퇘지들 피해망상 또 시작됐어?,1
134,재택근무로 꿀 빨고 있는데 당연하지,0
135,예쁘냐?예쁘면 그냥 한번 꼬셔서 하고 버려라,2
136,너네 동생 개맛있게 생겼던데 떡좀 쳐도 되냐?,2
137,요즘 무슨 트로트 방송 왜이렇게 많이 해?,0
138,탄력 보니까 한녀는 아닌 것 같고 백마인가?,2
139,오히려 사지를 분질러서 장애인 만들어서 거기 주차하라고 해야 됨,1
140,여자도 공짜로 애생기고 월세 안내고 밥값 안벌어도 되고 공짜로 섹도 하네?,2
141,난 걔들이랑은 달라,0
142,난 아니라고 본다,0
143,근데 지 여자친구도 똑같더라 문신충에 줄라 삐쩍 꼴았음 머가리 끼리끼리 만난 듯,1
144,귀를 막아도 다 들려서 그 입을 철퇴로 내리찍어버리고 싶어.,1
145,운동 선수는 두드려 패야 정신차리지 아니면 답 없다,1
146,어떤 점에서 그렇게 생각해?,0
147,역시 선진국은 선진국이다.,0
148,나도 내가 첫번째 일줄 몰랐다,0
149,너 혹시 똥남아 필리피노야?,1
150,요즘은 잼민이들이 참 탱탱하고 맛있더라,2
151,환승연애가 왜 그렇게 욕먹는지 모르겠어,0
152,손가락 발가락도 다 잘라버렸으면 좋겠다.,1
153,옆집 아지매랑 딸래미 덮밥 가능인데 언제 할래?,2
154,"애들이 나보고 신웅비, 신웅비 하는데 그게 뭐니?",0
155,"암세포도 더러워서 너한텐 안갈거다, 벼락맞아 죽어라.",1
156,16연패가 말이 되냐 진짜로??,0
157,손 대서라도 예쁜 게 낫지 않음?,0
158,솔직히 밑도 끝도 없는 좌파들 싹 다 죽여버려야 해.,1
159,야 저건 타고난거지 빨통 봐봐 어마어마하다,2
160,클럽 죽순이들 허벌 보지라서 만나면 안 돼,2
161,몰라 뒤라도 대줬나ㅋ 아니면 앞뒤로 다 대줬을 수도,2
162,예전엔 끼리끼리 살아서 잘 몰랐는데 지금은 스마트폰 때문에 다른 세상 사람들 사는 걸 알아버렸잖아.,0
163,그냥 우리 헤어져,0
164,나무 심기전에 니부터 파묻고 나무 심어줄까?,1
165,아 사감 진짜 제대로 일을 안하네 시발 이런거 위에 말하고 처 고치지,1
166,내 육봉으로 다스려주고 싶다,2
167,운전하면서 내꺼 빨도록 굴복 시키고 싶다,2
168,"너는 눈치가 없냐, 이 넌씨눈 자식아?",1
169,주문했어?? 내거 아이스아메리카노로 시켰지??,0
170,지랄하고 사원지어달라고 시위하고 자빠졌네요,1
171,나도 돈모아서 명품 옷 하나 산다,0
172,정신 차리고 싹싹 빌때까지 패야지,1
173,똥꼬 먹힌거 같은데ㅋㅋㅋ,2
174,허벅지 봐 핥고 싶게 생겼다,2
175,저사람봤어?,0
176,그거 다 성적어필 하고 몸좋고 돈많은 남자들이랑 한번 해보려는 허벌들이 잖아 ㅋㅋ,2
177,의학이 발달하기 전까진 못 고치는 병인데 대책이 어딨어?,0
178,그럼 가랑이가 365일 열려있는 상태겠네,2
179,바다 보이는 모텔 잡고 떡이나 쳐라 ㅋㅋ,2
180,브라안입고 몸 숙이니 꼭지가 보일랑말랑,2
181,우리 아버지가 누군지 알아?,0
182,중생놈들은 발정이 뭔지 모르잖아 ㅋㅋ,2
183,선택한 적 없어 꼴통아,1
184,니 아래 개불이라 질염 걸릴 것 같아서 사양,2
185,사장은 그냥 자본주의적으로 예쁜 알바 있으면 사람 많이 오니까 뽑는거야,0
186,요즘 황혼 이혼이 많이 늘었다더라,0
187,아니 그런 거 까보면 알지 그냥 냅다 모텔데려가서 까봐,2
188,어차피 떠날 사람은 다 떠났긴 했겠다,0
189,딱 봐도 성형 뒤지게 했는데?,1
190,미안해 너랑 약속을 잡아 둔 걸 깜빡했어,0
191,여자 소개 좀 해줘,0
192,그정도면 오나홀이 필요한 거 아니냐,2
193,헐 저렇게 몸이 굳으면 진짜 괴롭겠다,0
194,해병대 1기라니,0
195,난 그런 년 임신시킨 놈이 더 신기하던데...,2
196,원나잇에 에프터까지 성공하고서 섹파하려다가 망한 격,2
197,야 너는 왜 이렇게 껴입었냐,0
198,매점에서 뭐라도 사 먹지..! 지금도 아무것도 안 먹었어?,0
199,갑자기 왜 시비야 이 찐따련이,1
200,환경을 보호합시다.,0
201,아니 글쎄 자기 게 작은 건 생각 못하고 내 게 헐렁하다고 했다니까,2
202,야동 보는 거랑 다른 차원이지,2
203,밤에 몰래 침입해서 따먹고 싶어,2
204,판결이 왜 저러냐,0
205,난 내가 돈 벌 테니까 남편이 집안일을 했으면 좋겠어.,0
206,여캠 보는 것보다야 게임 방송이 훨 낫지,0
207,너 말하는 거 보니까 너부터 죽어야 되겠다,1
208,어 꼭 갚는다고 하길래 빌려 줬지,0
209,오빠좀 거기만 만지지말고 아래도 좀만져,2
210,야 너 오늘은 늦지 않게 와.,0
211,나는 바다! 바다 보면 기분 좋음,0
212,이렇게 소소하게 올려주니 예쁜 디저트도 보고 좋은데 왜,0
213,빈유라도 백마면 괜찮냐?,2
214,다음주 할로윈 때문에 코로나 엄청 늘어날거 같아,0
215,하 니 그냥 야스감임 그놈한테는 업소가면 돈드는거 그냥 니 빨아 재끼는거다 헤어져라,2
216,아줌마 집에서 자위나 하세요,2
217,졌다고 인정 하시죠,0
218,유부녀 항문에 듬뿍 싸고 싶다,2
219,왜 이렇게 피곤한지 모르겠네,0
220,도둑맞았어,0
221,무슨 일 있었는지 걱정된다,0
222,그래?좌지는 수술했나?,2
223,씹고 뜯고 맛보고 즐길 거리가 필요할 뿐이지,0
224,독도 침몰 어선 일본 쪽에서 늦게 알려줬다는데,0
225,요즘 애들은 책임감이 부족해,0
226,응 넌 리얼돌 사는게 가장 현실적,2
227,그럼 빨리 벗어봐 따뜻해지게 깊게 박아줄게,2
228,오늘 비 진짜 많이 내렸더라.,0
229,너네 누나 젖탱이가 빵빵한 게 따먹기 딱이더라,2
230,주딩이 해라 피떡 되는 수 있다,1
231,저 병신같은 년들은 생긴건 씹빻아서 뭐라고 똥을 싸지르고 있는거냐,1
232,은꼴이 더 좋아,2
233,니 여자친구랑 쓰리썸 하면 안되냐? 겁나 맛있어 보이던데,2
234,난 여성이지만 군대 기피는 중범죄라 생각한다,0
235,필라테스 요가년들은 그냥 먹버용인데,2
236,요즘 마스크 값 많이 내려갔는데 왜 그런걸 아껴?,0
237,너는 여행 다니고 연애할 돈은 있고 나랑 밥 먹을 돈도 없냐 이 거지 색기야.,1
238,무슨 냄새?,0
239,뭐 눈에는 뭐만 보인다고 너가 꽁떡에 환장한 여자인가봐?,2
240,아니 지난 주에 무슨 지역 축제인가 여기서 했대,0
241,아니 근데 그 정도 비건이면 빨리 목 매달고 묻혀서 거름이 되어줘야 되지 않냐,1
242,어제 소개팅 어땠어?,0
243,여자애들 가랑이 다 찢어질듯 ㅋㅋ 무슨 잘못이고 어후~,2
244,인터넷에서 명품 사는거 괜찮을까? 짭퉁 오면 어떡하지,0
245,남에게 피해만 안 준다면야,0
