,0,1
0,저기서 쟤는 하차하면 안 되나? 방송 재밌는데 쟤 때문에 보기 싫음,2
1,"케이크 사려고 두 시간 줄 섰는데도 못샀음 ㅜㅜ 줄선얘들 절반이상이 돼지같던데 다이어트좀 안하나,",1
2,쉽색히들 쉽지 않네...,0
3,악! 그럴 거면 인터넷 주문하자!,0
4,저러고 결과 어떻게 나오나 보자,0
5,낳음 당한 현실이 정말 싫다,0
6,그건 부모로서 당연히 해야할 의무 아니야?,0
7,철이 없는 소리좀 그만해,0
8,부모님이 돈 벌어다주는 기계야,0
9,나 애인 생겼어,0
10,우리나라는 개돼지가 왜 이렇게 많냐?,0
11,얘 표절임,0
12,1등까지 했으면 인정해줘야지,0
13,아 알바 뛰는 거 진짜 지친다 ...,0
14,"사람 공격하는 개한테 엄하게 안 하면 어쩌라고, 물려 죽으라고?",0
15,시골이었음 된장 발랐다.,0
16,개가 사람 공격하면 솥에 물 끓여야지.,0
17,나 지금 샤워해야 하니까 싯고 톡할게,0
18,뽀송뽀송하겠네 따먹기 좋게 몸단장하는거야?,3
19,너 진짜 신고한다,0
20,이미 알려 드렸잖아요,0
21,다시 봐도 잘 모르겠더라구요...,0
22,애 딸린 이혼남이랑 결혼하는 거 별론가요?,0
23,괜찮으면 왜 사람들이 그 사람이랑 결혼을 안 했겠어요 ㅋㅋㅋ,0
24,지 자식 키우기도 힘든 세상에 남의 자식 키우는 게 쉽겠냐?,0
25,서로 잘 지낼 수도 있는 거 아닌가요? 다들 말이 너무 심하시네요,0
26,글쓴이 정신 연령은 11세 정도인 듯 환상에 빠져서 자기 처지 생각도 안 하고 망상 속에 사는…,0
27,나 어제부터 생리하는데,0
28,너 내 볼펜 가져갔어?,0
29,내가 니 볼펜 가져가서 뭐하냐,0
30,뒤져서 나오면 니 손목하고 다시는 못 보는 거야,2
31,빨통은 좀 된다면서,3
32,페미 손절하고 빨통 부각하는 옷 좀 입었으면 떡상하고도 남았을 듯,3
33,한국 영화들은 뭔가 애매해.,0
34,그래서 나는 그냥 할리우드 영화만 본다,0
35,"아니? 처음 들어본다, 나중에 찾아봐야지",0
36,이번에 노래도 냈는데 완전 좋더라! 그것도 들어봐,0
37,난 게으른 J여서 계획을 잘 안 세워,0
38,그냥 네가 게으른 거 아님?,0
39,내가 어떻게 사는데?,0
40,미접종자 차별이지 이건,0
41,백신패스 너무 한 것 같아,0
42,이런거 다 쓰레기 보내는거면서 좋은거 보내주는 척 생색만 더럽게 심하네,0
43,하여튼 빈곤한 것들은 꼭 빈곤한 티를 내요 짜증나게,0
44,최저 시급 알바에 눈이 멀어서 악플 쓰는 건 다 쓰레기야,0
45,나는 정치 성향이 좌파야,0
46,그 말은 좌파 성향의 지지자들을 비하하는 표현이야,0
47,좌파를 싫어해서 일부러 비하용어를 사용하는 거야,0
48,나도 그거 재밌게 봤지,0
49,요즘 군대도 진짜 그럴까?,0
50,요즘 군대도 더하면 더했지,0
51,좋은 머리로 높은 자리 올라간 해충이 얼마나 많은데.,2
52,금수저 물고 태어났다는 말은 부모가 부자라는 뜻인 거 몰라?,0
53,저런 말을 했는데 언론은 지들도 몰라서 그러는지 입을 꾹 다물고 있다는 거지.,0
54,ㅋㅋㅋㅋㅋ 연애코치들이 왜저래,0
55,사장님 음식에서 이상한 냄새가 나요,0
56,어디요 괜찮은데요,0
57,약간 상한냄새나는데 잘 맡아보세요,0
58,이건 상한게 아니라 음식냄새입니다,0
59,손님사유로 바꾸는거라 이음식도 계산합니다,0
60,무슨 소리에요 음식을 먹지도 안았는데,0
61,기분나빠 갈테니 음식취소에요,0
62,그래도앞에 음식값은 주고 가시요,0
63,이탈리아 한복판에서 속옷 시위 하는 거 봤어?,0
64,구조조정된 여승무원들이 그러는 거래,0
65,근데 걔네는 해직 문제를 왜 그런 방식으로 해결하려고 그러지?,0
66,우리나라 여자 배구는 선수층이 얕은데다가 이제 김연경도 없으니 쉽지 않지,0
67,그니까 아직도 배구 올려쳐주는 애들은 경기 보기는 하는 건가,0
68,아 배구 잘만 하면 진짜 재밌는 스포츠인데,0
69,문과 애들 불쌍해서 어떡하냐,0
70,신성한 운동장에서 화장을 처하고 있네?,0
