,0,1
0,"케이크 사려고 두 시간 줄 섰는데도 못샀음 ㅜㅜ 줄선얘들 절반이상이 돼지같던데 다이어트좀 안하나,",1
1,쉽색히들 쉽지 않네...,0
2,악! 그럴 거면 인터넷 주문하자!,0
3,저러고 결과 어떻게 나오나 보자,0
4,낳음 당한 현실이 정말 싫다,0
5,그건 부모로서 당연히 해야할 의무 아니야?,0
6,철이 없는 소리좀 그만해,0
7,부모님이 돈 벌어다주는 기계야,0
8,나 애인 생겼어,0
9,우리나라는 개돼지가 왜 이렇게 많냐?,0
10,얘 표절임,0
11,1등까지 했으면 인정해줘야지,0
12,아 알바 뛰는 거 진짜 지친다 ...,0
13,개한테 엄하게 한다고 OO 욕하는 것들이 있네 ㅋㅋㅋㅋㅋ,0
14,"사람 공격하는 개한테 엄하게 안 하면 어쩌라고, 물려 죽으라고?",0
15,시골이었음 된장 발랐다.,0
16,개가 사람 공격하면 솥에 물 끓여야지.,0
17,나 지금 샤워해야 하니까 싯고 톡할게,0
18,뽀송뽀송하겠네 따먹기 좋게 몸단장하는거야?,2
19,너 진짜 신고한다,0
20,이미 알려 드렸잖아요,0
21,다시 봐도 잘 모르겠더라구요...,0
22,애 딸린 이혼남이랑 결혼하는 거 별론가요?,0
23,괜찮으면 왜 사람들이 그 사람이랑 결혼을 안 했겠어요 ㅋㅋㅋ,0
24,지 자식 키우기도 힘든 세상에 남의 자식 키우는 게 쉽겠냐?,0
25,서로 잘 지낼 수도 있는 거 아닌가요? 다들 말이 너무 심하시네요,0
26,글쓴이 정신 연령은 11세 정도인 듯 환상에 빠져서 자기 처지 생각도 안 하고 망상 속에 사는…,0
27,나 어제부터 생리하는데,0
28,너 내 볼펜 가져갔어?,0
29,내가 니 볼펜 가져가서 뭐하냐,0
30,뒤져서 나오면 니 손목하고 다시는 못 보는 거야,1
31,OO 페미 아니라고만 했어도 돈 꽤나 벌었을텐데,0
32,빨통은 좀 된다면서,2
33,페미 손절하고 빨통 부각하는 옷 좀 입었으면 떡상하고도 남았을 듯,2
34,한국 영화들은 뭔가 애매해.,0
35,그래서 나는 그냥 할리우드 영화만 본다,0
36,"OO 라고 알아? 여행 유튜버인데, 노래 잘 불러",0
37,"아니? 처음 들어본다, 나중에 찾아봐야지",0
38,이번에 노래도 냈는데 완전 좋더라! 그것도 들어봐,0
39,난 게으른 J여서 계획을 잘 안 세워,0
40,그냥 네가 게으른 거 아님?,0
41,내가 어떻게 사는데?,0
42,미접종자 차별이지 이건,0
43,백신패스 너무 한 것 같아,0
44,이런거 다 쓰레기 보내는거면서 좋은거 보내주는 척 생색만 더럽게 심하네,0
45,하여튼 빈곤한 것들은 꼭 빈곤한 티를 내요 짜증나게,0
46,최저 시급 알바에 눈이 멀어서 악플 쓰는 건 다 쓰레기야,0
47,나는 정치 성향이 좌파야,0
