0,1
부랴부랴 왔는데 아무도 안왔네. 시간개념들이 없네,2
맞아. 사람들이 진짜 개념이없다,2
저렇게는 살지 말아야지,2
그러게 게으르고 멍청한 사람들은 맞아야해,2
인방 보는 남자는 거르는게 맞다,2
특히 벗방보는 애들은 진짜 거세 시켜야함,3
볼 게 없어서 벗방을 보냐 ㅋㅋㅋ,3
사회성이 얼마나 떨어지면 그러냐 ㅋㅋㅋ,2
댓글에 빠순이들 몰려와서 즈그 주인님 쉴드치는 꼴 좀 봐,2
이래서 인방충~ 인방충~ 하는거 구나,2
쉴드가 아니라 국가가 면제해준거야.,0
에로배우들을 데려다가 아이돌을 만드네,3
쟤네들은 표정이 딱 야동인데..,3
솔직히 여자 48kg이상은 나가 디져야 하는 거 아님,2
그렇게 따지면 남자 170cm이하도 겨 나오면 안되지,2
짜져라 이 돼지 꿀꿀아,2
중국은 두 발달린 짐승,2
짐승입장도 들어봐야지ㅋㅋ,0
짱깨는 반드시 해체되어야 함,2
깐부라고 부르기까지 하다니,0
어머니 간 이식 해 주기 싫어서 도망쳤다고...?,0
해 준 거 없는 부모한테는 간 이식 안 해 줘도 될 듯,2
나중에 애 낳으면 애들이 너 이식 안 해 줘서 죽었으면 좋겠다,2
와 드디어 일 다 했다,0
줫빠지게 힘들어서 잣같았다,3
그동안 고생 많았어,0
고생한 기념으로 내가 저녁 사 줄게,0
한 번 보여줘봐,0
저렇게 운전해 놓고 내려서 자기가 화를 내는거냐?,0
저런 대응은 정말 이해가 안되지?,0
"정신병에 걸렸다고 생각되는데, 가장 확실한 치료는 사형이다.",2
저게 좌파 정당 대표인지 우파 정당 대표인지 분간이 안 가네.,2
요새는 온갖 방법으로 다 들어와서 수준이 천차만별이래,0
아직 대학에 적응을 못한 거 아냐?,0
아냐 수준도 안되는데 농어촌 전형으로 겨우 입학한 애들이 많아서 그래,2
하긴 그런 촌구석에서 일등 해 봤자긴 하지,2
의사들은 좋겠다 돈 많이 벌어서,0
근데 병원에 있으면 너무 우울할듯,0
너같은 돌머리는 괜찮아 갈 일 없으니까,2
1년 반 동안 한 거라곤 세금 퍼주기랑 거리두기밖에 없네,0
지금껏 포퓰리즘 정책밖에 없음,0
이 지긋지긋한 정부 작살을 내고 싶다,2
틀딱들 선거 직전에 다 죽어서 상관 없음 ㅋㅋㅋ,2
뭐라하냐 백세시대에 ㅋㅋㅋ,0
난 그래도 좋은 사람이였구나,0
비록 여돌가지고 딸치고 놀앗지만 여자에 미쳐서 남자 패지는 않앗으니까 당당하게 살겠읍니다!,3
니가 빠는 여돌들 대부분은 페미임 ㅋ,2
쟤 이번에 트레이너 회원수 랭킹 1위 찍었다며?,0
