,0
0,
1,ㄹ
2,가
3,가라앉히
4,가리
5,감
6,겠
7,경우
8,계속
9,계시
10,고
11,공
12,공적
13,공포감
14,공포심
15,관련
16,기
17,끊
18,나
19,내용
20,녹음
21,녹취
22,님
23,대상
24,대응
25,대화
26,더
27,도와드리
28,도움
29,되
30,드리
31,듣
32,라
33,마음
34,말씀
35,면
36,모욕
37,민원
38,민원인
39,받
40,발생
41,벌금
42,범죄
43,법
44,법령
45,법률
46,법적
47,부분
48,부탁
49,불
50,불안감
51,불편
52,사용
53,삼가
54,상담
55,선생
56,성
57,성폭력
58,성희롱
59,수
60,수치심
61,수행
62,습니다
63,시
64,시키
65,심하
66,안내
67,앉히
68,않
69,알리
70,어
71,어려
72,어렵
73,어서
74,언어폭력
75,언행
76,업무
77,없
78,에
79,예정
80,요청
81,욕설
82,위법
83,을
84,응대
85,이
86,이런
87,이만
88,이상
89,이익
90,있
91,있음
92,자제
93,저
94,저촉
95,적
96,전화
97,절대
98,정확
99,제
100,조
101,조성
102,조치
103,종료
104,죄
105,죄송
106,주
107,주시
108,중단
109,중지
110,즉시
111,지만
112,지속
113,지장
114,직원
115,진행
116,징역
117,차분
118,차분히
119,처벌
120,추후
121,통화
122,특례법
123,폭언
124,하
125,해당
126,행위
127,혐오감
128,협박
129,형법
130,화
