,0,1
0,이후에도 동일한 내용에 대해서는 대응하지 않을 예정입니다. ,"['이후', '에', '도', '동일', '하', 'ᆫ', '내용', '에', '대하', '어서', '는', '대응', '하', '지', '않', '을', '예정', '이', 'ᆸ니다', '.']"
1,"죄송합니다만, 계속 민원인께서 심한 말씀을 하시면 상담을 계속 진행하기가 어렵습니다.","['죄송', '하', 'ᆸ니다', '만', ',', '계속', '민원인', '께서', '심하', 'ᆫ', '말씀', '을', '하', '시', '면', '상담', '을', '계속', '진행', '하', '기', '가', '어렵', '습니다', '.']"
2,욕설은 자제하여 주시기 바랍니다.,"['욕설', '은', '자제', '하', '어', '주', '시', '기', '바라', 'ᆸ니다', '.']"
3,정중하게 말씀하여 주시기 바랍니다.,"['정중', '하', '게', '말씀', '하', '어', '주', '시', '기', '바라', 'ᆸ니다', '.']"
4,"지금까지 민원인께서 계속하여 욕설을 하고 계셔서, 더 이상의 상담을 진행하기가 어렵습니다. ","['지금', '까지', '민원인', '께서', '계속', '하', '어', '욕설', '을', '하', '고', '계시', '어서', ',', '더', '이상', '의', '상담', '을', '진행', '하', '기', '가', '어렵', '습니다', '.']"
5,여기는 공적인 업무를 수행하는 곳입니다.,"['여기', '는', '공', '적', '이', 'ᆫ', '업무', '를', '수행', '하', '는', '곳', '이', 'ᆸ니다', '.']"
6,저는 지금 공적인 업무를 수행하고 있습니다.,"['저', '는', '지금', '공', '적', '이', 'ᆫ', '업무', '를', '수행', '하', '고', '있', '습니다', '.']"
7,"죄송합니다만, 상담진행이 어렵겠습니다. ","['죄송', '하', 'ᆸ니다', '만', ',', '상담', '진행', '이', '어렵', '겠', '습니다', '.']"
8,"이만, 전화를 끊겠습니다. ","['이만', ',', '전화', '를', '끊', '겠', '습니다', '.']"
9,"죄송합니다만, 지금처럼 성희롱 등 수치심을 일으키는 욕설을 계속하시면 상담진행이 어렵겠습니다. ","['죄송', '하', 'ᆸ니다', '만', ',', '지금', '처럼', '성희롱', '등', '수치심', '을', '일으키', '는', '욕설', '을', '계속', '하', '시', '면', '상담', '진행', '이', '어렵', '겠', '습니다', '.']"
10,저는 지금 공적업무를 수행하고 있습니다.,"['저', '는', '지금', '공적', '업무', '를', '수행', '하', '고', '있', '습니다', '.']"
11,민원인의 말씀은 언어폭력으로 법적인 처벌의 대상이 될 수도 있습니다.,"['민원인', '의', '말씀', '은', '언어폭력', '으로', '법', '적', '이', 'ᆫ', '처벌', '의', '대상', '이', '되', 'ᆯ', '수', '도', '있', '습니다', '.']"
12,"선생님, 폭언을 계속하시면 정상적인 상담이 어렵습니다.","['선생', '님', ',', '폭언', '을', '계속', '하', '시', '면', '정상', '적', '이', 'ᆫ', '상담', '이', '어렵', '습니다', '.']"
13,선생님 지금 하시는 말씀은 형법 제284조 협박죄에 해당될 수 있습니다.,"['선생', '님', '지금', '하', '시', '는', '말씀', '은', '형법', '제', '284', '조', '협박', '죄', '에', '해당', '되', 'ᆯ', '수', '있', '습니다', '.']"
14,화가 나시겠지만 마음을 가라앉히시고 차분히 말씀해 주셔야 도움을 드릴 수 있습니다. ,"['화', '가', '나', '시', '겠', '지만', '마음', '을', '가라앉히', '시', '고', '차분히', '말씀', '하', '어', '주', '시', '어야', '도움', '을', '드리', 'ᆯ', '수', '있', '습니다', '.']"
15,선생님 더 이상 상담이 어렵습니다.,"['선생', '님', '더', '이상', '상담', '이', '어렵', '습니다', '.']"
16,폭언을 계속 하시면 관련 법령에 따라 처벌 받을 수 있습니다.,"['폭언', '을', '계속', '하', '시', '면', '관련', '법령', '에', '따르', '어', '처벌', '받', '을', '수', '있', '습니다', '.']"
17,통화를 종료하겠습니다,"['통화', '를', '종료', '하', '겠', '습니다']"
18,방금하신 말씀은 성희롱에 해당될 수 있으니 말씀을 삼가 주십시오.,"['방금', '하', '시', 'ᆫ', '말씀', '은', '성희롱', '에', '해당', '되', 'ᆯ', '수', '있', '으니', '말씀', '을', '삼가', '어', '주', '시', 'ᆸ시오', '.']"
19,그리고 정확한 상담을 위해 통화내용을 녹음하겠습니다,"['그리고', '정확', '하', 'ᆫ', '상담', '을', '위하', '어', '통화', '내용', '을', '녹음', '하', '겠', '습니다']"
20,성희롱을 지속 하실 경우에 관련 법령에 따라서 처벌받을 수 있습니다,"['성희롱', '을', '지속', '하', '시', 'ᆯ', '경우', '에', '관련', '법령', '에', '따라서', '어', '처벌', '받', '을', '수', '있', '습니다']"
21,"다만, 선생님께서 저희 직원에게 말씀하신 성희롱적 언행은 관련 법령에 따라 처벌 받을 수 있으니 앞으로는 절대 삼가 주시기 바랍니다","['다만', ',', '선생', '님', '께서', '저희', '직원', '에게', '말씀', '하', '시', 'ᆫ', '성희롱', '적', '언행', '은', '관련', '법령', '에', '따르', '어', '처벌', '받', '을', '수', '있', '으니', '앞', '으로', '는', '절대', '삼가', '어', '주', '시', '기', '바라', 'ᆸ니다']"
22,"다만, 저희 직원에게 하신 욕설(협박)은 관련 법령에 따라 처벌 받을 수 있으니 삼가 주시기 바랍니다.","['다만', ',', '저희', '직원', '에게', '하', '시', 'ᆫ', '욕설', '(', '협박', ')', '은', '관련', '법령', '에', '따르', '어', '처벌', '받', '을', '수', '있', '으니', '삼가', '어', '주', '시', '기', '바라', 'ᆸ니다', '.']"
23,선생님 화가 많이 나시겠지만 차분하게 말씀해 주십시오.,"['선생', '님', '화가', '많이', '나', '시', '겠', '지만', '차분', '하', '게', '말씀', '하', '어', '주', '시', 'ᆸ시오', '.']"
24,폭언을 중단해 주십시오,"['폭언', '을', '중단', '하', '어', '주', '시', 'ᆸ시오']"
25,폭언 등을 계속하셨기 때문에 민원 응대가 어렵습니다.,"['폭언', '등', '을', '계속', '하', '시', '었', '기', '때문', '에', '민원', '응대', '가', '어렵', '습니다', '.']"
26,방금하신 말씀은 성희롱에 해당될 수 있으니 말씀을 삼가 주십시오,"['방금', '하', '시', 'ᆫ', '말씀', '은', '성희롱', '에', '해당', '되', 'ᆯ', '수', '있', '으니', '말씀', '을', '삼가', '어', '주', '시', 'ᆸ시오']"
